epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6927,0.84482,2.06081,1.59928,1.04399,0,0.99969,0.64455,0.64753,0.63449,0.99969,0.64455,0.64818,0.59664,0.42503,0.64626,1.54568,0.73592,0,0.000653595,0.000653595,0.000653595
2,27.0521,0.60024,0.73897,0.92546,0.87887,0,0.99981,0.64455,0.78968,0.72798,0.99981,0.64455,0.76997,0.65694,0.47191,0.63868,0.9128,0.73228,0,0.00129412,0.00129412,0.00129412
3,38.2534,0.54486,0.58464,0.77574,0.86344,0,0.85449,0.8906,0.8692,0.6098,0.85904,0.89534,0.87202,0.68569,0.93308,0.59183,1.42401,0.97637,0,0.00190825,0.00190825,0.00190825
4,48.9782,0.54813,0.6305,0.68982,0.88277,0,0.95727,0.92016,0.94685,0.86099,0.96056,0.92332,0.95625,0.79165,0.34899,0.46416,0.45927,0.70843,0,0.0018812,0.0018812,0.0018812
5,59.886,0.51566,0.5542,0.61504,0.85955,0,0.97706,0.80745,0.88165,0.81943,0.97506,0.80287,0.87701,0.74033,0.34202,0.46783,0.75112,0.71391,0,0.0018416,0.0018416,0.0018416
6,70.9595,0.50932,0.51461,0.56551,0.87073,0,0.95683,0.9453,0.95169,0.85487,0.94743,0.93964,0.94657,0.71798,0.32785,0.43957,0.48973,0.70667,0,0.001802,0.001802,0.001802
7,81.7691,0.4618,0.50534,0.51157,0.84315,0,0.94655,0.93997,0.95386,0.86603,0.94296,0.95103,0.95585,0.8179,0.33643,0.38581,0.37872,0.70653,0,0.0017624,0.0017624,0.0017624
8,92.7591,0.46931,0.50038,0.50005,0.85447,0,0.94176,0.94945,0.94989,0.86237,0.94512,0.95103,0.95549,0.80181,0.32653,0.42935,0.36405,0.70692,0,0.0017228,0.0017228,0.0017228
9,103.512,0.42081,0.48576,0.45443,0.84545,0,0.91756,0.94787,0.94972,0.87689,0.96872,0.90205,0.9576,0.79914,0.27755,0.45393,0.34156,0.70379,0,0.0016832,0.0016832,0.0016832
10,114.498,0.43181,0.48019,0.44079,0.85229,0,0.95776,0.93839,0.9582,0.88856,0.95191,0.95103,0.96312,0.82558,0.2782,0.37656,0.29645,0.70273,0,0.0016436,0.0016436,0.0016436
11,124.995,0.41535,0.48366,0.41154,0.84163,0,0.93452,0.93365,0.9577,0.88053,0.92061,0.96051,0.9613,0.81483,0.27371,0.37754,0.29606,0.69826,0,0.001604,0.001604,0.001604
12,136.246,0.41274,0.4426,0.40426,0.83913,0,0.95127,0.94787,0.95954,0.88178,0.94725,0.95419,0.96251,0.83632,0.29999,0.35476,0.32132,0.70051,0,0.0015644,0.0015644,0.0015644
13,147.46,0.382,0.44692,0.37319,0.83753,0,0.95356,0.94076,0.95599,0.89701,0.94766,0.94383,0.95645,0.8064,0.25616,0.43035,0.27696,0.69477,0,0.0015248,0.0015248,0.0015248
14,159.216,0.39348,0.4934,0.37254,0.84314,0,0.93584,0.94945,0.95611,0.88589,0.94676,0.94945,0.96103,0.81165,0.26905,0.37153,0.25376,0.69813,0,0.0014852,0.0014852,0.0014852
15,170.239,0.37395,0.43423,0.34831,0.83461,0,0.94301,0.94945,0.96001,0.87767,0.94615,0.95261,0.96836,0.85144,0.24619,0.34652,0.23449,0.69511,0,0.0014456,0.0014456,0.0014456
16,181.327,0.35682,0.37973,0.33907,0.83389,0,0.94066,0.95103,0.95947,0.8937,0.94223,0.95261,0.96255,0.78551,0.26189,0.36332,0.25932,0.69586,0,0.001406,0.001406,0.001406
17,192.471,0.3479,0.40301,0.32154,0.82552,0,0.95131,0.94945,0.95633,0.89723,0.9483,0.94787,0.95981,0.82397,0.24535,0.33301,0.26371,0.69387,0,0.0013664,0.0013664,0.0013664
18,203.482,0.35279,0.41499,0.33413,0.83108,0,0.95075,0.94549,0.95461,0.89631,0.94919,0.94436,0.95659,0.84577,0.22152,0.33574,0.21547,0.69251,0,0.0013268,0.0013268,0.0013268
19,214.317,0.35674,0.39614,0.33209,0.84006,0,0.95689,0.94155,0.9601,0.8945,0.95069,0.93365,0.96335,0.81896,0.23623,0.33367,0.21715,0.68965,0,0.0012872,0.0012872,0.0012872
20,225.191,0.36472,0.38175,0.31852,0.83468,0,0.95214,0.94787,0.95662,0.8912,0.95214,0.94787,0.96152,0.83836,0.24198,0.35262,0.21443,0.69288,0,0.0012476,0.0012476,0.0012476
21,235.944,0.35683,0.41484,0.32405,0.82971,0,0.95831,0.94419,0.96185,0.88969,0.96003,0.94858,0.97094,0.82336,0.25181,0.31661,0.23074,0.69513,0,0.001208,0.001208,0.001208
22,247.493,0.3475,0.38599,0.30895,0.84027,0,0.96283,0.94112,0.96307,0.90143,0.95077,0.94585,0.96567,0.81274,0.21757,0.36029,0.19737,0.68998,0,0.0011684,0.0011684,0.0011684
